carat,clarity,color,cut,price
0.51,SI2,I,Very Good,774
0.93,IF,H,Ideal,6246
0.5,VVS2,D,Very Good,1146
0.3,VS1,F,Ideal,538
0.31,SI1,F,Ideal,502
1,VS1,F,Ideal,7046
1.03,VS1,G,Ideal,6268
1.31,VVS2,G,Ideal,12297
0.5,SI1,D,Ideal,1308
0.24,SI1,G,Ideal,371
0.3,SI1,D,Ideal,490
0.32,SI2,F,Ideal,443
1.52,VVS1,H,Very Good,9689
1,SI2,J,Ideal,3991
0.46,VS2,H,Ideal,1079
0.4,SI1,E,Ideal,783
0.29,VVS1,D,Ideal,739
0.35,VS2,G,Ideal,537
0.5,VVS2,I,Ideal,1278
0.71,VS1,G,Good,1903
0.34,SI2,F,Ideal,483
0.57,SI1,G,Ideal,1474
1.01,VS1,F,Ideal,8714
0.9,VS2,E,Very Good,4485
0.32,VS2,D,Ideal,650
0.5,VS1,F,Very Good,1376
0.52,VVS2,J,Ideal,1135
0.73,VS1,D,Ideal,3499
5.09,SI1,I,Ideal,69144
0.79,VVS1,H,Very Good,2825
0.36,IF,I,Ideal,715
0.47,VS2,G,Ideal,961
0.71,SI2,G,Very Good,2225
0.3,VVS1,H,Ideal,502
1.9,SI1,E,Very Good,16522
0.51,VVS1,G,Very Good,1139
0.5,VVS1,D,Good,1392
1.9,SI2,I,Ideal,11843
0.52,VVS2,F,Astor Ideal,2409
0.24,VS2,D,Ideal,493
0.33,VS1,G,Very Good,429
1.2,VVS2,J,Ideal,5391
0.35,VS2,F,Ideal,614
1.5,VS2,H,Very Good,9628
0.7,SI2,F,Ideal,2087
1.29,VVS1,H,Ideal,9447
0.61,VS1,F,Very Good,2018
0.4,VS1,I,Very Good,727
1.46,IF,J,Ideal,8834
1.12,IF,D,Ideal,19584
0.42,SI2,J,Ideal,542
1.4,SI2,E,Ideal,8161
1.02,SI1,G,Very Good,3278
1.25,SI2,J,Very Good,5198
0.41,SI1,I,Ideal,768
0.3,VS1,H,Ideal,563
0.32,VS2,D,Ideal,619
2.5,SI2,I,Ideal,20213
0.4,SI1,E,Very Good,609
0.7,SI2,D,Very Good,2124
0.51,SI1,I,Ideal,1230
0.4,VS1,F,Ideal,1134
0.51,VVS2,G,Very Good,1370
2.01,VVS1,D,Very Good,27472
0.5,IF,F,Very Good,1473
0.5,VS2,F,Good,922
0.4,VVS2,H,Ideal,896
0.7,SI1,D,Very Good,2120
0.3,VS2,G,Ideal,472
4.02,SI2,F,Ideal,38916
0.43,SI1,J,Ideal,666
0.31,VVS2,I,Ideal,545
1.51,VS1,F,Ideal,16669
4.01,VS2,E,Very Good,78934
0.7,SI2,D,Good,1713
5.01,VS1,H,Ideal,131045
1,SI2,D,Good,3989
0.3,SI1,I,Very Good,453
0.46,SI2,E,Ideal,957
0.3,IF,F,Ideal,635
0.54,VVS2,G,Very Good,2035
1.01,SI2,G,Very Good,3454
0.3,VS2,G,Very Good,522
0.8,VS1,E,Ideal,3914
1,VS1,E,Ideal,6417
0.7,VVS2,H,Ideal,2538
1.8,VS1,J,Ideal,11419
1.53,VS1,H,Ideal,13675
0.55,VVS1,G,Very Good,1206
0.71,SI1,J,Ideal,1852
0.7,VS2,D,Very Good,2162
2.01,SI1,D,Ideal,25241
0.5,SI2,F,Very Good,844
1.2,SI2,I,Ideal,5372
0.7,VS1,E,Very Good,2847
0.4,VS1,J,Ideal,744
0.37,SI2,F,Very Good,515
1,SI2,D,Good,4401
0.4,VVS2,D,Ideal,1262
0.3,VS1,D,Ideal,550
1.23,VVS2,J,Ideal,6373
1.01,VS2,G,Ideal,6559
0.3,SI1,I,Very Good,407
1.21,SI2,J,Good,4556
0.5,VS2,G,Very Good,1313
1.4,FL,F,Very Good,13733
0.38,SI2,I,Very Good,474
0.4,VVS1,H,Ideal,922
0.41,VS2,E,Ideal,935
0.7,SI1,H,Good,2364
1.54,SI1,F,Very Good,9333
0.61,SI2,F,Ideal,1420
1,SI1,I,Very Good,4414
0.41,VS1,F,Very Good,901
1.18,SI1,I,Ideal,6260
0.7,VS2,E,Very Good,2026
0.3,SI1,I,Good,426
0.31,SI1,F,Ideal,488
1.53,SI1,G,Ideal,11150
0.32,VVS1,F,Ideal,615
1,SI1,F,Good,4023
0.23,VS1,F,Astor Ideal,587
0.88,IF,E,Ideal,7582
0.3,SI2,F,Ideal,366
0.5,VS1,H,Ideal,1391
0.34,VS1,H,Ideal,582
0.41,VS1,D,Ideal,1006
0.5,VS1,D,Very Good,1972
2,VS1,I,Ideal,19936
0.35,VS1,I,Ideal,601
2.02,SI1,G,Ideal,18546
0.91,SI1,D,Ideal,5088
1.01,SI1,E,Ideal,6097
2.27,SI1,I,Ideal,18806
0.5,SI1,D,Good,1389
0.33,VS2,I,Ideal,509
0.7,VS1,D,Ideal,2599
1.06,SI2,D,Very Good,3244
0.62,VS1,D,Ideal,2164
2,VVS1,G,Ideal,27982
0.39,VVS1,E,Good,617
0.7,VS2,J,Very Good,1507
0.35,VS2,H,Ideal,547
0.56,SI1,I,Ideal,1306
1.1,SI1,D,Ideal,6880
0.91,SI1,F,Good,3913
1.04,VVS1,G,Good,5301
1.1,SI1,G,Ideal,7377
0.4,VVS2,G,Very Good,856
0.54,VVS2,G,Ideal,1654
0.51,SI1,H,Ideal,1436
1.01,SI2,E,Very Good,3890
0.36,SI1,E,Very Good,528
0.73,IF,H,Ideal,3015
0.25,VVS2,D,Ideal,644
0.24,IF,I,Ideal,405
0.7,VVS1,I,Very Good,2144
0.26,VS2,D,Ideal,557
3.17,VS1,J,Ideal,31110
0.33,VVS2,F,Ideal,673
2,VS1,E,Very Good,20635
0.3,SI2,F,Ideal,394
0.3,VS1,I,Ideal,583
3.01,VS2,H,Very Good,39317
0.23,VVS2,F,Ideal,452
0.34,SI1,E,Ideal,629
0.57,VVS2,J,Ideal,1341
0.26,VVS1,E,Ideal,600
0.6,VVS1,G,Very Good,1752
2.03,VVS2,E,Ideal,44964
1.1,SI1,D,Ideal,7849
0.33,IF,I,Ideal,622
0.4,VVS2,I,Very Good,684
0.54,VS1,I,Ideal,1300
1.22,VS1,G,Very Good,7291
0.7,VS1,J,Very Good,1424
1.4,SI1,D,Ideal,10729
0.5,VS1,D,Very Good,1555
0.4,SI2,G,Very Good,565
0.51,SI2,J,Ideal,876
0.72,SI2,F,Good,2209
1,VS1,G,Good,4865
0.3,VS1,E,Ideal,587
0.33,VS1,E,Ideal,611
0.3,SI1,I,Ideal,420
1.4,VS2,G,Ideal,10153
0.6,SI2,I,Ideal,1272
0.55,VS2,D,Ideal,1563
1,SI1,G,Ideal,6323
0.7,VVS2,I,Very Good,2322
0.6,VS2,H,Ideal,2212
0.7,VVS2,D,Very Good,2528
2.02,SI1,H,Very Good,12917
0.54,IF,I,Ideal,1428
1.02,VVS1,D,Ideal,9689
7.09,VS2,E,Ideal,345397
0.5,SI1,I,Good,1067
0.4,SI2,G,Ideal,744
0.7,VVS2,H,Very Good,2306
0.56,SI1,F,Very Good,1335
1.4,VS2,F,Ideal,11520
1,VVS2,D,Good,4683
0.3,VS1,F,Ideal,538
1.3,VS2,D,Ideal,11474
0.3,IF,G,Ideal,623
0.53,VS2,I,Ideal,1296
0.7,VS1,D,Very Good,2703
0.62,VVS1,D,Very Good,3002
1,SI1,J,Very Good,4514
1,VS1,D,Very Good,8762
0.79,SI1,D,Good,2717
0.32,VVS2,J,Ideal,534
0.3,VS1,G,Very Good,529
0.3,VVS2,I,Ideal,548
0.32,VS2,G,Ideal,527
0.38,SI2,F,Ideal,695
1,SI1,G,Ideal,5894
1.57,VS1,J,Ideal,8820
0.51,VS2,I,Ideal,1334
1.01,SI1,J,Very Good,3707
5,VS1,D,Very Good,128694
0.3,VVS1,J,Ideal,463
1.01,VS1,D,Very Good,8287
1.17,VS2,D,Ideal,11100
0.53,VVS1,F,Ideal,1940
0.3,VS2,E,Very Good,539
0.3,SI2,G,Ideal,410
0.51,VS2,I,Ideal,1247
0.3,VVS1,D,Ideal,691
0.42,SI2,I,Ideal,647
3,SI1,E,Very Good,44478
3.01,VVS2,D,Very Good,52663
0.81,SI1,J,Very Good,1756
2.03,VS1,D,Ideal,33993
0.5,VS1,G,Ideal,1652
1.01,VS1,H,Very Good,6079
0.9,VVS1,G,Very Good,3631
0.5,SI2,G,Very Good,1035
2.01,VVS1,H,Very Good,15249
0.3,VVS2,H,Ideal,545
0.8,VVS2,F,Ideal,4661
0.5,SI1,G,Very Good,1269
1.07,VVS2,D,Ideal,11112
2,VS2,E,Ideal,26150
0.5,SI2,G,Ideal,1008
0.25,VVS1,G,Ideal,539
0.31,SI1,G,Ideal,478
0.5,VS1,E,Very Good,1553
1,VS1,E,Ideal,6965
0.33,VS2,D,Ideal,767
1.71,SI1,H,Ideal,12464
0.41,VS2,G,Ideal,810
0.4,SI1,D,Ideal,854
0.79,VS2,I,Ideal,2798
0.47,VS1,G,Very Good,870
0.8,SI1,E,Ideal,2729
0.48,VS1,D,Ideal,1523
0.79,VVS1,E,Ideal,5036
0.99,SI1,G,Very Good,4491
0.7,SI2,I,Very Good,1604
0.5,VS1,D,Ideal,1622
1.3,VS2,G,Ideal,8810
0.9,VS1,D,Ideal,6634
0.5,VS1,I,Ideal,1386
0.54,VS1,G,Ideal,1610
1.79,SI2,I,Very Good,9913
0.3,VS2,E,Very Good,434
0.3,VVS1,J,Ideal,493
0.31,SI2,D,Ideal,460
0.8,SI1,D,Ideal,3312
0.45,VS2,H,Good,571
1.31,VS1,H,Ideal,9039
1,SI2,E,Good,4980
0.4,VVS2,D,Ideal,1005
4.03,VS2,E,Good,109744
0.32,VS2,I,Ideal,528
0.3,IF,G,Very Good,563
0.93,SI1,J,Very Good,2021
0.51,SI2,I,Very Good,987
4.71,VVS1,D,Ideal,192351
0.4,VS1,E,Ideal,932
0.5,VVS2,D,Ideal,2104
0.51,VS1,G,Very Good,1732
0.3,SI2,F,Ideal,378
0.23,SI1,D,Ideal,381
0.49,VVS2,I,Very Good,595
0.3,VS1,E,Ideal,527
0.55,VS1,H,Ideal,1601
1.01,SI2,G,Ideal,4995
1,SI2,G,Ideal,4456
0.41,VS2,G,Ideal,810
0.7,VS2,F,Ideal,2717
0.33,VVS1,G,Ideal,620
0.91,SI2,I,Ideal,2978
0.51,SI2,F,Very Good,914
0.3,VS1,E,Ideal,581
0.66,VVS1,F,Ideal,3101
1.05,VS2,J,Ideal,5100
0.4,SI1,D,Very Good,930
0.61,VS2,G,Ideal,1947
0.35,VVS1,F,Ideal,910
1,SI1,G,Ideal,5885
0.4,VS1,G,Very Good,767
0.5,VVS1,G,Very Good,1337
0.33,VVS1,F,Ideal,623
0.3,VS1,E,Very Good,466
0.32,VVS1,E,Ideal,707
0.5,SI1,D,Ideal,1428
0.5,SI1,G,Ideal,1261
1,VS1,I,Very Good,5145
0.5,VVS1,G,Very Good,871
0.3,SI1,D,Ideal,553
0.5,SI2,G,Very Good,1064
0.4,VS2,G,Ideal,871
0.75,SI2,F,Very Good,1988
1.54,VVS2,F,Ideal,14473
0.3,SI2,D,Ideal,436
0.31,SI1,D,Ideal,516
0.24,VVS1,E,Ideal,577
1.83,VVS1,H,Ideal,18186
0.4,SI1,H,Very Good,726
0.31,IF,H,Very Good,571
0.34,VS2,G,Ideal,566
0.3,VS2,H,Very Good,464
4.36,VS1,D,Ideal,169795
0.26,VVS1,D,Ideal,685
0.31,SI1,E,Ideal,546
1.5,SI1,G,Very Good,9003
0.43,IF,D,Ideal,1463
0.7,VVS1,F,Ideal,3282
0.3,VS1,F,Ideal,556
0.33,VS2,H,Ideal,593
0.5,SI2,G,Very Good,711
1.01,VS2,E,Very Good,6466
0.3,SI2,H,Ideal,370
0.41,VVS1,D,Ideal,1040
0.5,SI1,E,Very Good,1296
0.3,SI1,F,Ideal,472
1,SI2,F,Ideal,4362
0.59,VS2,F,Very Good,1034
0.7,SI1,F,Very Good,2212
0.5,SI2,I,Ideal,1049
0.91,SI1,D,Very Good,2466
0.6,VVS1,G,Very Good,1962
0.81,SI2,G,Very Good,1462
0.6,VS2,J,Very Good,1293
0.51,VS2,H,Ideal,1367
1.51,VS1,F,Very Good,10905
0.3,VS1,I,Ideal,494
1.05,VS1,F,Ideal,8756
0.71,VVS2,G,Ideal,2649
0.5,VVS1,I,Good,1120
1.7,VS1,H,Ideal,13537
0.64,VVS2,D,Very Good,1340
0.29,FL,D,Ideal,1072
0.3,VVS1,E,Ideal,578
0.36,SI2,J,Ideal,459
0.4,VVS2,D,Very Good,838
1.02,VS2,G,Good,5981
1.2,VS1,D,Very Good,12046
1.01,VVS2,D,Very Good,6515
0.33,VVS2,F,Ideal,794
4.03,SI1,E,Ideal,63612
0.42,VVS2,I,Ideal,677
0.3,VVS1,F,Very Good,612
1.21,VS1,J,Astor Ideal,5154
0.31,VS1,H,Ideal,564
0.5,SI1,H,Good,1127
0.5,VVS2,G,Ideal,1527
0.38,SI1,G,Ideal,617
0.32,VS2,J,Ideal,440
0.57,SI1,E,Ideal,1448
1.38,SI1,H,Ideal,7668
0.4,VVS1,J,Ideal,747
0.5,SI1,D,Ideal,1658
0.32,VVS1,E,Ideal,747
0.7,SI2,D,Good,1854
3.16,SI2,H,Ideal,32272
0.3,VS2,E,Ideal,533
1.03,SI1,G,Ideal,6229
1.01,VS1,E,Very Good,6406
2.08,SI1,E,Very Good,21563
0.5,VVS2,I,Ideal,1398
0.4,SI1,H,Ideal,765
0.53,VVS2,E,Ideal,1983
0.3,SI2,I,Ideal,386
0.91,SI1,I,Ideal,3661
2.02,SI2,H,Very Good,15294
0.5,VVS1,I,Very Good,1284
0.36,SI1,I,Ideal,537
0.5,VS1,I,Ideal,1287
0.31,VVS1,E,Ideal,712
0.51,VS1,I,Ideal,1370
0.59,SI2,G,Ideal,1238
0.5,SI1,G,Ideal,1335
0.57,VS1,I,Ideal,1367
0.4,SI1,H,Ideal,670
0.3,SI1,E,Very Good,428
0.5,SI1,D,Ideal,1457
1.81,VS2,F,Ideal,17492
0.52,VVS2,D,Ideal,2144
1,VVS2,D,Very Good,8897
0.5,VS2,I,Very Good,1184
0.3,VVS1,F,Ideal,673
0.46,SI1,F,Ideal,841
0.4,VS1,H,Ideal,889
0.54,IF,I,Ideal,1419
0.5,IF,F,Very Good,1427
0.56,VVS2,F,Ideal,1845
0.4,VVS2,I,Ideal,812
0.57,VVS1,E,Ideal,2151
0.55,VS1,G,Ideal,1640
1.01,VVS2,H,Very Good,4019
0.54,SI1,D,Ideal,1475
0.3,SI2,I,Very Good,387
0.7,VVS2,I,Ideal,2048
0.61,VS2,G,Astor Ideal,1682
0.9,SI2,J,Very Good,1850
0.3,SI2,G,Ideal,408
0.53,VS2,D,Astor Ideal,1702
0.32,SI1,E,Ideal,546
0.9,VS2,H,Very Good,3907
0.4,VVS2,H,Very Good,604
0.25,SI2,F,Very Good,328
0.52,VS2,H,Ideal,1543
0.8,VS2,D,Very Good,4861
3.01,VVS2,H,Very Good,40514
0.61,VVS2,I,Ideal,1640
0.36,VVS2,G,Ideal,680
0.43,VS1,E,Ideal,886
3.01,SI1,H,Good,33116
0.3,VVS2,J,Very Good,460
0.5,VS2,J,Ideal,1097
0.5,VS1,G,Very Good,1383
0.52,SI2,H,Ideal,1138
0.35,VS2,H,Ideal,697
0.8,VS2,F,Ideal,3864
0.5,VS2,F,Good,1294
0.51,SI2,F,Ideal,1181
2.32,VVS2,D,Ideal,53202
0.33,VS1,H,Ideal,605
1.2,VVS1,J,Ideal,6428
0.5,VS1,F,Very Good,1594
0.56,VVS2,F,Astor Ideal,2594
0.33,VVS1,F,Ideal,756
1.01,VVS1,E,Very Good,7464
0.35,VVS2,D,Ideal,860
1.96,VS2,I,Very Good,11138
1.71,VS2,F,Ideal,15411
0.72,SI2,F,Ideal,1934
1.75,VS2,E,Good,14035
0.7,VVS2,G,Ideal,2846
1.5,VVS1,I,Very Good,8347
0.7,VS2,F,Good,2301
0.3,VVS1,I,Ideal,524
0.5,SI1,F,Very Good,1168
1.28,VVS1,F,Ideal,11361
0.4,SI1,D,Ideal,847
0.9,VS1,H,Very Good,2805
1,VS1,D,Ideal,9018
0.58,SI2,F,Ideal,1292
1.02,SI1,G,Ideal,6368
0.31,SI2,F,Ideal,388
0.32,SI1,I,Ideal,441
0.4,VS1,G,Very Good,773
0.7,VVS1,J,Ideal,2117
0.7,SI2,H,Ideal,1742
0.51,SI2,E,Very Good,870
1.01,VS1,E,Astor Ideal,6099
0.3,VS2,G,Very Good,500
1.4,IF,D,Ideal,22412
1.02,VVS1,D,Ideal,8246
1.08,VVS2,E,Astor Ideal,7305
0.57,SI1,E,Ideal,1607
1.01,VVS2,D,Very Good,6039
1.51,VVS1,E,Very Good,17453
0.55,VVS2,G,Ideal,1619
0.4,VVS1,F,Very Good,978
2.01,VS1,G,Ideal,26564
0.55,VS1,J,Ideal,1246
0.51,VS2,E,Ideal,1522
0.31,SI2,F,Very Good,403
1.4,VS2,J,Ideal,7265
1.01,SI2,H,Ideal,4625
0.51,VS1,E,Very Good,1258
0.3,VS2,E,Ideal,552
0.5,VVS1,I,Very Good,1300
0.33,VVS2,I,Ideal,441
0.71,SI2,I,Astor Ideal,1455
0.24,VS1,D,Very Good,322
0.75,SI1,E,Very Good,2383
0.7,SI2,E,Very Good,1737
0.24,VVS2,F,Ideal,573
1.51,SI1,H,Ideal,9920
2.12,VVS1,H,Ideal,25995
1.07,VS1,D,Ideal,9086
0.4,VS1,F,Ideal,880
2.01,VS2,E,Very Good,19472
0.31,SI2,H,Ideal,411
0.5,VS1,D,Very Good,1664
0.3,VVS1,D,Ideal,679
1.06,VS1,F,Very Good,5753
0.46,VVS1,D,Ideal,1354
0.5,VS1,E,Very Good,1480
1,SI2,J,Ideal,3705
0.3,VS2,H,Very Good,459
0.7,SI1,F,Very Good,2091
0.43,VVS2,E,Very Good,970
0.36,VS2,E,Ideal,680
1.03,VS1,F,Ideal,8096
0.9,SI2,E,Very Good,2943
1.01,VVS1,D,Very Good,5345
0.63,VVS1,E,Very Good,2248
1.21,VVS2,H,Ideal,8468
3.01,VVS2,J,Ideal,31728
0.5,VS2,H,Ideal,1284
0.75,VVS2,F,Very Good,3479
1,VVS2,J,Very Good,3059
0.82,VS2,E,Very Good,3298
3.01,VS1,G,Very Good,49304
0.33,SI1,F,Ideal,555
1.76,VS1,D,Ideal,24451
1.02,SI1,E,Very Good,4855
0.7,VS2,F,Ideal,2793
1.2,SI1,E,Very Good,5972
0.32,VS1,H,Ideal,671
1.3,VS1,D,Ideal,11348
1.37,VS1,D,Ideal,15277
0.5,VS1,E,Ideal,1594
1.02,VS2,J,Very Good,3333
0.34,VS1,H,Ideal,739
0.51,VVS2,F,Very Good,1394
0.32,SI1,D,Ideal,538
0.41,VVS1,I,Ideal,818
0.3,VS1,H,Very Good,545
0.5,VS2,E,Ideal,1335
0.5,VS2,F,Ideal,1512
0.71,VS1,J,Good,1634
1.01,VVS1,F,Astor Ideal,6913
2.2,VS2,F,Very Good,22322
0.3,VS2,E,Very Good,459
0.7,SI2,D,Good,1504
0.54,VS2,F,Ideal,1548
0.3,SI1,H,Very Good,412
0.7,SI1,D,Ideal,2322
2.5,VS1,F,Very Good,23176
1.01,VS2,F,Very Good,5730
1.63,SI1,F,Very Good,10571
0.3,VVS2,F,Ideal,548
0.3,SI2,H,Ideal,408
1.08,SI1,D,Very Good,4040
0.51,SI2,J,Ideal,977
0.36,VS2,G,Ideal,608
0.73,SI2,E,Very Good,1690
0.7,VS2,E,Very Good,3014
0.65,IF,F,Ideal,3263
2.02,VVS1,H,Very Good,20670
0.62,VS2,I,Ideal,1324
0.23,VVS1,F,Ideal,437
0.5,VS2,H,Very Good,1223
0.55,VS2,E,Ideal,1625
0.52,VS1,G,Ideal,1715
0.5,VS2,H,Very Good,916
0.73,SI1,G,Very Good,1688
0.56,VS1,I,Good,1098
1.05,SI1,F,Astor Ideal,7312
0.36,VVS2,D,Ideal,809
1.51,VVS1,E,Ideal,16977
0.31,SI1,D,Ideal,542
0.3,IF,I,Very Good,522
1.01,VS1,F,Very Good,6376
0.4,VS2,G,Very Good,867
0.31,VS2,H,Ideal,449
0.25,VS2,F,Ideal,515
0.5,VS2,I,Ideal,1307
1.14,VVS2,D,Very Good,8961
0.34,VVS2,E,Ideal,657
1.5,SI1,H,Very Good,9128
0.35,VS1,F,Ideal,648
5.02,VVS2,I,Very Good,123311
0.34,VS1,H,Ideal,608
0.4,VS1,D,Very Good,901
0.23,VS1,E,Very Good,376
0.45,VVS1,J,Very Good,862
1.9,SI1,F,Ideal,19092
1,VS1,J,Ideal,4669
0.45,VS1,D,Very Good,980
1.01,SI1,D,Ideal,6058
0.5,SI1,E,Ideal,1245
0.3,VS1,I,Ideal,506
0.3,VVS1,E,Ideal,700
1.01,VS2,D,Ideal,8063
0.3,SI2,E,Ideal,390
0.53,VS2,D,Ideal,1847
0.42,SI1,E,Ideal,723
0.5,VS2,J,Good,1023
0.41,VVS1,G,Ideal,977
3.08,SI1,I,Very Good,21412
1.05,VS2,H,Ideal,6701
1.41,SI2,D,Ideal,10133
0.34,VVS2,J,Ideal,610
0.81,VS2,F,Astor Ideal,4985
0.4,VS2,I,Ideal,691
0.4,VVS2,I,Ideal,755
